职位,城市,公司,学历,经验,技能,薪资,工作描述,行业,职位URL,公司规模,发布时间,薪资_最小值,薪资_最大值,年薪月数
硬件测试,武汉,武汉绒花树网络技术有限公司,大专,1-3年,"可靠性测试,四级",50000-70000,可靠性测试岗位职责：1、按规范要求执行各种手机可靠性实验，收集实验数据，汇总实验报告，提供给研发团队；2、对实验缺陷及测试异常进行现象描述及初步分析。3、支持实验标准研究，支持实验方法及流程优化；4、实验室测试设备日常维护和现场5S管理； 任职要求：1、大专及以上学历，要求电子，通讯，自动化等电类相关专业，有1年以上相关工作经验（不含实习经验）；2、英语4级；4、能适应晚上延时及周末加班，能接受夜...,IT服务,http://jobs.zhaopin.com/CC884475280J40752849611.htm,100-299人,2025-12-10 11:35:55,50000.0,70000.0,12.0
智能驾驶实车测试（行车、大里程泛化、主动安全）,武汉,科锐尔人力资源服务(苏州)有限公司,本科,3-5年,"功能测试,自动化测试,车载测试,Python,C++,JIRA,CANoe",30000-60000,"实车测试工程师-行车""工作职责1.负责智能驾驶产品实车路测，根据需求对系统进行调试及软件版本刷写；2.负责根据系统或产品的功能需求制定实车测试计划，完成实车测试任务；保证团队遵循项目进度，质量要求，项目计划，缺陷管理规范等；3.负责根据系统或产品的功能需求完成测试计划的制定，测试方案的编写，测试用例的设计；4.负责对系统或产品进行相关车辆测试，执行测试用例，输出测试指标，撰写测试报告；5.负责定期...",咨询服务,http://jobs.zhaopin.com/CC453635220J40858586603.htm,1000-9999人,2025-11-24 17:52:14,30000.0,60000.0,15.0
车载硬件开发工程师,武汉,上海圣驭管理咨询有限公司,本科,5-10年,"设计,技术支持,硬件测试",25000-45000,"Mission of the Role:The HW Engineer is tasked with leading Cockpit Domain Controller or Display HW design, delivery the cost competitive solution and robust products with high efficiency. Key Objectiv...",农/林/牧/渔,http://jobs.zhaopin.com/CC372339510J40857557903.htm,20-99人,2026-01-04 12:44:10,25000.0,45000.0,14.0
硬件研发总监,武汉,武汉脉博人力资源有限公司,本科,5-10年,"硬件测试,设计,LED研发",30000-40000,岗位职责：1、全面负责公司硬件、结构、工艺等相关模块工作，制定技术路线，把握技术发展方向，确保技术可行性和产品竞争力2、参与公司产品战略的制定，以及硬件类相关产品评审，为公司产品规划目标从技术角度提供决策支撑3、参与供应商及合作伙伴的评估与筛选工作，从技术的角度支持公司供应链体系建设及三方设计/施工方案的选型4、负责新一代微间距LED直显产品交付工作，包括方案评估、硬件设计（结构/PCB）、调试及...,人力资源服务,http://jobs.zhaopin.com/CCL1492665750J40825302009.htm,20-99人,2026-01-06 16:06:46,30000.0,40000.0,12.0
大功率电源硬件高级工程师,武汉,广州金升阳科技有限公司,本科,10年以上,"电源,大功率,硬件研发",25000-40000,岗位职责: 1、负责大功率ACDC电源的技术开发； 2、负责项目的进度把控，对技术难点分析及改进，提供解决方案； 3、负责项目的总体方案评估，关键技术、核心功能的风险识别，方案选型，关键物料选型，关键电路仿真，计算书书写； 4、核心产品技术攻关，新技术的研究。 任职要求: 1、硕士5年/本科6年以上中大功率开关电源产品设计开发工作经验； 2、能独立开发300W-50KW电源产品； 3、熟悉模拟电路...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC136037370J40801117705.htm,1000-9999人,2025-12-16 14:23:28,25000.0,40000.0,12.0
高级电子设计工程师（机器人方向）,武汉,盛视科技,硕士,10年以上,"研发,设计,电气设计,PCB设计,嵌入式软件研发,嵌入式硬件研发,机器人电子产品",20000-40000,工作任务：1、设计机器人的电子系统架构（电路板数量、类型及电子功能）；2、监督机器人和电子电路板的电磁兼容性（EMC）及无线电合规性测试；3、规划并为电子硬件开发提供支持。主要职责：1、为电子设计提供依据，并跟踪验证活动；2、与选定供应商协调机电一体化的元器件选型和采购工作；3、与机械、固件及底层软件团队协作编写技术规格。任职要求：专业技能：1、硕士 / 博士学历，电子类专业背景2、10 年 + ...,人工智能,http://jobs.zhaopin.com/CC152838410J40709839206.htm,500-999人,2025-08-28 16:01:06,20000.0,40000.0,12.0
电机控制系统硬件件开发-0034,武汉,东风汽车,本科,3-5年,,20000-40000,岗位职责：高压、低压部分原理图设计，PCB设计及测试（HIL\MIL、台架测试、整车集成调试）；素质要求：1、熟悉汽车电子软件开发流程；2、熟悉simulink/stateflow模型设计，熟悉C语言、matlab的m语言编程；3、熟练应用Vector等开发及标定工具；4、熟练应用Autosar、AD开发工具；5、熟悉单片机原理；6、熟悉电机控制基础；7、学习能力强，责任心强，工作踏实，有较强的沟...,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40778551005.htm,10000人以上,2025-05-22 16:59:34,20000.0,40000.0,12.0
电子系统电路资深工程师,武汉,TCL华星光电技术有限公司,本科,5-10年,,19000-35000,"工作职责1、负责海外车载LTPS产品电路 驱动电路开发，完成设计架构可行性评估，电子元器件选型，电路设计，FPC/PCB layout设计发包等任务，完成产品成品的电气性能验证测试检查。2、能对方案的各种风险进行提前识别和防范,完成DFMEA.及各项项目阶段文件输出任务。3、应对欧美客户新产品开发阶段，量产阶段的issue解析。工作要求1、具备欧美客户产品开发经验，具备车载显示及Incell技术完...",互联网,http://jobs.zhaopin.com/CCL1318355140J40438964703.htm,500-999人,2026-01-10 01:05:12,19000.0,35000.0,15.0
硬件工程师,武汉,深圳市海思瑞科电气技术有限公司,本科,3-5年,"原理图设计,嵌入式硬件开发,器件选型,PCB设计,硬件设计,元器件选型,FPGA研发,DSP研发,变流器、变频器",20000-35000,岗位职责：1.负责公司电力电子、储能等产品电路原理图设计、部分PCB制作及优化；2.新研产品硬件设计，包括设计文档的编写、原理图设计、PCB板layout、电路板焊接、样机制作；3.产品单板调试、整机组装调试、系统联调，与软件、结构、项目工程师进行配合调试工作，编写调试记录文档；4.产品硬件测试及其相关验证工作；产品转产文件输出，协助产品转产，导入生产系统；元器件选型及其测试验证；与各部门沟通配合...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC469741010J40246569513.htm,20-99人,2025-12-23 00:00:01,20000.0,35000.0,12.0
嵌入式硬件工程师,武汉,博联众科(武汉)科技有限公司,本科,3-5年,"电路设计,PCB,STM32,嵌入式硬件开发,单片机,DSP开发,C/C++",18000-35000,【工作职责】1、根据产品需求进行硬件电路方案设计、电路原理图设计和PCB设计；2、参与主控平台MCU、FPGA、DSP、ADC、电源、接口芯片等器件的选型、调试和优化；3、负责硬件单板的调试、测试，EMC测试和整改；4、配合软件进行硬件调试；5、负责处理产品生产制造过程中的产品设计及其它技术问题。【任职要求】1、电子信息、通信工程、自动化、仪器仪表等相关专业本科毕业，数字与模拟电路基础扎实，能够独...,医疗设备/器械,http://jobs.zhaopin.com/CC343830680J40537339106.htm,100-299人,2025-09-29 13:51:15,18000.0,35000.0,14.0
硬件开发工程师,武汉,中兴通讯,本科,3-5年,"硬件开发,设计",,岗位职责：1、负责能源产品硬件需求分析、方案设计；2、负责产品硬件原理图设计、PCB设计、产品调试、故障定位和解决；3、负责产品全生命周期维护工作；4、负责产品设计文档及其它技术文档的编写。任职要求：教育背景：电子信息工程、通信工程、电力电子、电气工程及其自动化、控制工程等相关专业本科及以上学历，3年以上相关领域工作经验。专业技能：熟练掌握Cadence Allegro & Orcad等电路设计工...,运营商/增值服务,http://jobs.zhaopin.com/CC120146700J40696632502.htm,10000人以上,2025-08-11 15:43:02,,,
硬件工程师（储能方向）,武汉,深圳市海思瑞科电气技术有限公司,本科,3-5年,"硬件设计,PCB设计,FPGA研发,储能变流器PCS,UPS/EPS不间断电源,三相充电桩,储能微网、变频器,APF、SVG,大功率电源",20000-35000,岗位职责：1、负责公司电力电子及储能产品主电路器件、IGBT拓扑、LCL参数计算，制定详细、可执行、低成本系统设计方案；2、负责ARM/DSP、FPGA、CPLD主电路控制系统设计，使用VHDL/Verilog语言完成FPGA、CPLD开发，时序逻辑和底层驱动严密，能满足产品功能需求和可靠性要求;3、负责电路原理图设计、PCB设计及电路调试，设计结果能满足技术设计及规格书要求；4、设计和规范硬件单...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC469741010J40490024913.htm,20-99人,2025-09-18 00:27:24,20000.0,35000.0,12.0
硬件（电源）专家 J11900,武汉,武汉精测电子集团股份有限公司,本科,10年以上,"大功率电源,电源产品",25000-35000,岗位职责:（1）技术带头人，对大功率电源、负载及半导体检测设备系统设计和总体方案把控；（2）负责功率器件、电感、变压器等器件进行计算选型；（3）负责仿真平台的构建；（4）电源类产品新应用技术的研究；（5）项目中其它疑难技术的攻关研究工作。任职要求:（1）本科及以上学历，约10年工作经验，电力电子及电传动、电气自动化及自动控制、机电及测控等相关专业，扎实的模拟电路、数字电路和数字控制基础；（2）有大...,仪器仪表制造,http://jobs.zhaopin.com/CC253673710J40738959009.htm,1000-9999人,2025-07-01 14:40:35,25000.0,35000.0,14.0
硬件开发工程师,武汉,武汉华工正源光子技术有限公司,本科,3-5年,,25000-35000,职位描述：负责800G/1.6T OSFP硬件调测、样品制作、项目文件输出、客户端问题分析、项目节点推进等。职位要求：1、熟练掌握Cadence设计软件；2、具备英语听说能力；3、有800G/1.6T硅光项目经验优先。,通信/网络设备,http://jobs.zhaopin.com/CC121124230J40920580304.htm,1000-9999人,2025-06-10 13:46:10,25000.0,35000.0,15.0
电子工程师(766),武汉,海克斯康制造智能技术(青岛)有限公司,本科,5-10年,"设计,研发",20000-35000,职责描述：1.负责产品硬件系统方案设计、相关电子器件选型和原理图设计； 2.原型功能样机制作及调试； 3.参与产品的可靠性测试、转产以及生产的支持工作； 4.联系供应商，对接技术支持； 5.维护管理或协助管理所开发的硬件。 任职要求： 1.本科及以上学历，精通模拟电路和数字电路设计，熟练使用硬件设计软件； 2.不少于三年嵌入式ARM平台（DSP，FGPA或GPU等）硬件实际开发经验，了解嵌入式系统...,仪器仪表制造,http://jobs.zhaopin.com/CCL1230483400J40779070703.htm,1000-9999人,2025-04-16 21:00:34,20000.0,35000.0,14.0
模拟硬件工程师,武汉,武汉天眸光电科技有限公司,硕士,3-5年,,20000-30000,职位说明：1.根据项目要求，设计原理图、编写设计方案说明文档，提供测试验证方案：2.配合PCB Layout工程师完成PCB设计，完成电路调试测试，完成BOM制作等：3.完成试/转产，追踪/处理：4.负责设计机器人二维、三维视觉传感器、激光雷达、智能视觉处理器等产品的硬件开发：5.研究新技术以满足产品的需求，根据开发过程中的体验对产品提出改进建议。任职要求:1.本科三年或者硕士两年以上工作经验：2...,人工智能,http://jobs.zhaopin.com/CCL1222513750J40594617501.htm,20-99人,2026-01-11 00:23:40,20000.0,30000.0,12.0
硬件工程师,武汉,华为技术有限公司,本科,无经验,,,岗位内容：1. 参与嵌入式和智能硬件项目的硬件设计、调试和测试；2. 完成相关的硬件文档编写和修改；3. 进行市场调研和技术评估，为项目提供技术支持；4. 负责产品性能测试、故障分析和解决方案的制定。任职要求：1. 有硬件开发经验者优先考虑，无经验者需要具备一定的电子基础和兴趣；2. 熟练使用常见EDA软件进行原理图设计和PCB布局；3. 熟悉数字电路和模拟电路的基础知识，对嵌入式系统有一定了解；...,运营商/增值服务,http://jobs.zhaopin.com/CC000542940J40836322514.htm,10000人以上,2026-01-10 17:43:36,,,
W2电源硬件研发经理,武汉,上海军陶科技股份有限公司,本科,5-10年,,18000-30000,"岗位职责：• 管理硬件研发团队，制定建设规划，提升团队研发能力。• 规划产品研发战略与路线图，主导核心技术攻关及新产品研发。• 统筹电源硬件全流程研发（需求分析, 系统设计,方案与PCBA评审等各环节）。• 管控研发项目进度、成本与质量，确保项目按要求交付。• 完善研发制度流程，提升研发效率。• 跟踪行业前沿技术，引入先进理念提升产品竞争力。• 负责研发团队招聘、培训及绩效激励。任职要求：• 本科...",电子设备制造,http://jobs.zhaopin.com/CCL1309897380J40825829609.htm,300-499人,2026-01-08 10:48:38,18000.0,30000.0,12.0
高级硬件项目经理,武汉,宁波麦思捷科技有限公司,本科,5-10年,"嵌入式硬件开发,器件选型,射频开发,无人机,电子工艺工程师,硬件测试",15000-30000,岗位核心价值：全面负责公司海洋工程装备等复杂集成系统的硬件开发与集成工作。领导硬件团队，主导从技术路线选择、供应链寻源到系统集成测试的全流程，确保硬件系统满足项目需求并成功交付。岗位职责：1. 团队领导与项目管理a) 领导硬件技术团队，负责项目任务分配、技术指导与团队建设；b) 制定产品开发计划，协调产品开发进度，统筹硬件集成项目的全生命周期管理。2. 技术方案与设备选型a) 主导硬件系统架构设计...,电子/半导体/集成电路,http://jobs.zhaopin.com/CCL1209468870J40865591512.htm,20-99人,2026-01-08 01:33:21,15000.0,30000.0,12.0
光模块软/硬件工程师,武汉,智联猎头,本科,3-5年,光模块,16000-30000,高级模拟设计工程师高级光模块硬件工程师光模块的硬件方案设计与开发：硬件方案选型，元器件的选型，工艺和成本的可行性分析。2、光模块电路的设计和实现：进行光模块的硬件电路设计，包括原理图的设计，配合PCB的设计。3、光模块硬件加工和调试：负责光模块的BOM搭建，科研生产和硬件功能的调测，输出BOM表和硬件白盒测试报告。4、生产支持：光模块生产NPI导入硬件支持，BOM将成本和可制造性等硬件优化。1、学...,互联网,http://jobs.zhaopin.com/CCL1318355140J40865798803.htm,10000人以上,2026-01-07 01:07:26,16000.0,30000.0,12.0
电源硬件研发经理,武汉,上海军陶科技股份有限公司,本科,5-10年,电源系统开发,18000-30000,"（一）岗位职责• 管理硬件研发团队，制定建设规划，提升团队研发能力。• 规划产品研发战略与路线图，主导核心技术攻关及新产品研发。• 统筹电源硬件全流程研发（需求分析, 系统设计,方案与PCBA评审等各环节）。• 管控研发项目进度、成本与质量，确保项目按要求交付。• 完善研发制度流程，提升研发效率。• 跟踪行业前沿技术，引入先进理念提升产品竞争力。• 负责研发团队招聘、培训及绩效激励。（二）任职资格...",电子设备制造,http://jobs.zhaopin.com/CCL1309897380J40820014309.htm,300-499人,2026-01-07 01:25:15,18000.0,30000.0,12.0
硬件开发工程师(J17351),武汉,迈瑞,硕士,3-5年,"设计,射频电源,功率硬件",20000-30000,岗位职责:负责高压功率驱动硬件系统开发：1.负责医疗设备的的射频（>0.7MHz）功率硬件系统方案设计，电路开发与调试2.优化射频功放电路，阻抗匹配网络及高压电源系统，确定稳定性，效率；3.负责需求分析，器件设计及选型（功率半导体，电感，变压器等）4.编写技术文档（设计规范，测试报告，BOM表）并支持转产量产，解决量产中的疑难问题；任职要求:1. 学历：电子工程，电力电子，通信或者自动化硕士及以上...,医疗设备/器械,http://jobs.zhaopin.com/CC000577600J40817890801.htm,10000人以上,2026-01-07 01:02:22,20000.0,30000.0,14.0
研发主任,武汉,武汉环达电子科技有限公司,本科,5-10年,"研发,设计",18000-30000,岗位职责:1.根据制定部门工作计划，组织落实本部门业务工作开展；2.建设部门人才梯队，负责内部员工的管理和考核工作；3.组织制订部门相关业务管理制度、工作流程、标准、规范，推动落实并持续改进；4.负责组织项目的开发，包括规划、方案设计、详细设计、样品试制、验证、改进、各项试验等设计工作；5.组织开展部门内研发项目的输出文件编制、检查、归档和修订，配合完成各阶段评审、出厂前内部验收等管理与控制工作；...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC196408110J40910288908.htm,100-299人,2026-01-06 16:56:32,18000.0,30000.0,14.0
嵌入式硬件工程师（储能/电力电子）,武汉,北京英博电气股份有限公司,本科,5-10年,"PCIe,以太网,DDR",18000-30000,岗位职责：1、进行模拟电路、数字电路等硬件电路设计；2、负责元器件选型、验证；软件、硬件联合调试，保证产品功能的实现，确保软件运行可靠； 3、负责编写调试程序，协助或主导测试开发的硬件设备，确保其按设计要求正常运行； 4、负责产品的功能测试，硬件参数测试； 5、负责对硬件产品进行开发、升级、维护管理；6、设计方案、材料清单、产品规范、技术协议、使用说明等文档编写。岗位要求：1、本科以上学历，工业、...,电力/水利/热力/燃气,http://jobs.zhaopin.com/CC120656650J40784101516.htm,500-999人,2025-12-28 21:33:50,18000.0,30000.0,13.0
硬件设计工程师,武汉,北京航星传动科技有限公司,硕士,1-3年,,15000-30000,（一）岗位描述：1、根据需求进行电机控制器系统设计，包括关键器件选型、设计目标清单确认、元器件厂家选择、硬件原理图设计、电磁兼容性设计、失效分析及解决方案的确定；2、负责控制器控制板和驱动板的PCB的设计及相关生产文件的制作；3、负责控制器控制板和驱动板及整机测试调试、生产过程中问题的分析、解决；4、负责技术文件编制（技术方案、技术条件、调试细则、技术说明书、设计规范、流程、FMEA、FTA，WC...,船舶/航空/航天/火车制造,http://jobs.zhaopin.com/CCL1381662310J40811907014.htm,20-99人,2025-12-25 09:57:00,15000.0,30000.0,12.0
高级光模块硬件工程师,武汉,智联猎头,本科,3-5年,"设计,硬件设计",20000-30000,工作职责：1、光模块的硬件方案设计与开发：硬件方案选型，元器件的选型，工艺和成本的可行性分析。2、光模块电路的设计和实现：进行光模块的硬件电路设计，包括原理图的设计，配合PCB的设计。3、光模块硬件加工和调试：负责光模块的BOM搭建，科研生产和硬件功能的调测，输出BOM表和硬件白盒测试报告。4、生产支持：光模块生产NPI导入硬件支持，BOM将成本和可制造性等硬件优化。任职要求：1、学历本科及以上，...,互联网,http://jobs.zhaopin.com/CCL1318355140J40865880803.htm,10000人以上,2025-12-24 18:00:25,20000.0,30000.0,12.0
电源硬件测试高级工程师,武汉,麦格米特,本科,5-10年,"EMC测试,信号测试,电源测试",15000-30000,"岗位职责:1、依据测试用例，制定测试计划，并参与测试计划评审。2、搭建测试平台，根据测试计划，对产品进行EVT,DVT,PVT等各阶段的电气性能、元器件应力、EMC、环境、安规、可靠性测试。3、按照公司的测试报告模版制作合格的测试报告，参与测试报告的评审。4、对测试缺陷进行反馈，跟进、协调问题的分析、处理及解决，直至问题关闭。5、负责测试组测试仪器的管理和保养维护工作，负责实验室的5S工作。 任职...",电子/半导体/集成电路,http://jobs.zhaopin.com/CC154405010J40824535005.htm,1000-9999人,2025-12-22 16:56:06,15000.0,30000.0,12.0
ECU硬件设计工程师-东风商用车技术中心,武汉,东风汽车,本科,5-10年,设计,20000-30000,"岗位职责:*此岗位招聘单位为东风商用车有限公司东风商用车技术中心1、负责车载电控单元（含车身、动力及新能源三电等控制系统）硬件方案设计及需求分析工作；2、根据ECU产品定义和技术规范设计具体的电路架构，完成芯片选型和原理图设计及PCB Layout设计,对供应商开发的硬件开展方案和设计审核；3、推进国产芯片在车载控制器上的搭载与应用；4、协助制定产品的环境、EMC等试验要求，并能协助分析解决产品开...",汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40554257505.htm,10000人以上,2025-12-22 08:52:20,20000.0,30000.0,12.0
控制硬件工程师,武汉,惠州亿纬锂能股份有限公司,本科,3-5年,"ARM,DSP,PCS",15000-30000,一、工作内容：1、负责变流器的控制回路的芯片最小系统设计、存储、采样、保护、通讯、驱动等控制回路的设计2、负责变流器控制回路的设计文档\DFMEA\BOM\工艺文件\系统框图等相关文档编写3、负责变流器与BMS/EMS之间的通迅架构的核定与调试，与软件同事对接软硬件接口，与功率同事对接驱动、采样与电源接口4、负责器件选型并与供应链同事对接保证量产产品的成本与交期；二、任职要求：1、熟悉GB3413...,新能源,http://jobs.zhaopin.com/CC398572520J40860084412.htm,10000人以上,2025-12-16 13:08:35,15000.0,30000.0,15.0
硬件项目经理（武汉）,武汉,麦格米特,本科,5-10年,,20000-30000,岗位职责:1、项目的第一责任人，需要对项目的进度、成本、质量负责2、完成项目系统方案设计及硬件方案设计；3、负责电路设计、元器件选型、PCB设计等电路详细设计工作；4、硬件功率电路、控制电路、EMC调试、自测及测试重大问题解决；5、产品开发过程中技术平台积累，包括技术规范、通用技术模块、经验案例、科技论文的撰写、专利分析与申请. 任职要求:1.电气、自动化、电力电子相关专业本科及以上学历；2.本科...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC154405010J40833541105.htm,1000-9999人,2025-12-17 16:49:03,20000.0,30000.0,12.0
电路设计岗 (MJ004184),武汉,中国航空技术国际控股有限公司,本科,3-5年,"模拟电路,数字电路,OLED",15000-30000,岗位职责1.负责产品项目开发中电路设计与光学设计的方案制定与风险预判；2、负责电路/光学相关性能的提升与验证，设计rule的制定；3、电路与光学设计base的更新，以及SOP的制定与维护；4、团队新人的培养；岗位要求1、本科及以上学历，微电子、电子相关专业优先；2、熟练操作至少一种如Clever或者华大等RC提取软件，掌握至少一种如eldo或者华大九天电路仿真软件；3、3年以上OLED电路、光学设...,贸易/进出口,http://jobs.zhaopin.com/CC144916330J40948136804.htm,500-999人,2025-12-12 01:10:12,15000.0,30000.0,15.0
功率硬件工程师,武汉,惠州亿纬锂能股份有限公司,本科,5-10年,"PCS,逆变器,三电平拓扑",15000-30000,功率硬件工程师一、工作内容：1、负责变流器的IGBT驱动、辅助电源、采样等部分电路的原理图设计；2、负责变流器功率回路的设计文档\DFMEA\BOM\工艺文件\系统框图等相关文档编写；3、负责测试问题的跟进及解决，同时需要负责协调软件、结构、电气、测试等相关同事保证项目的按时交付；4、负责器件选型并与供应链同事对接保证量产产品的成本与交期；5、负责兆瓦级以上变流器功率回路的设计、选型与验证。二、任...,新能源,http://jobs.zhaopin.com/CC398572520J40860083412.htm,10000人以上,2025-12-16 13:07:51,15000.0,30000.0,15.0
高级电源工程师,武汉,武汉永力睿源科技有限公司,本科,5-10年,"硬件开发,AC/DC电源,DC/DC电源,PFC,LLC",20000-30000,岗位职责：1、完成产品的前期技术沟通和方案设计；2、主导完成开关电源的设计、检测、转产等工作；3、进行项目管理，按照项目计划推进项目开发工作；4、完成上级交代的其他工作；任职资格：1、5年以上开关电源工作经历，DSP数字电源工作经历优先；2、精通LLC、移相全桥、反激、正激等常用拓扑，并有成功的产品研发经验；3、能熟练使用Mathcad完成磁件、功率器件、效率等关键参数计算；4、至少掌握1种电路仿...,电子/半导体/集成电路,http://jobs.zhaopin.com/CC349775780J40157771415.htm,100-299人,2025-12-09 00:00:03,20000.0,30000.0,14.0
高级量子计算工程师（中性原子硬件平台）,武汉,中科酷原科技(武汉)有限公司,博士,1-3年,"冷原子物理,里德堡激发,真空、磁光阱、光镊阵列、拉曼,LABVIEW、PYTHON,中性原子量子计算,光路搭建,激光器",16000-30000,中科酷原科技（武汉）有限公司（以下简称“中科酷原”）直属招聘，中科酷原是国家高新技术企业、湖北省量子技术产业链“链主”企业、湖北省“专精特新”中小企业、湖北省瞪羚企业、光谷瞪羚精选、科技型中小企业和创新型中小企业，旗下子公司中科酷原量子科技（武汉）有限公司、北京中科酷原量子科技有限公司。工作职责:1.负责搭建完整的原子量子计算实验系统，优化实验参数，运行实验；2.负责跟踪领域内国际最新发展现状，并...,专用设备制造,http://jobs.zhaopin.com/CCL1268592630J40750409016.htm,20-99人,2025-11-23 00:30:40,16000.0,30000.0,15.0
硬件测试工程师,武汉,惠州亿纬锂能股份有限公司,本科,3-5年,,15000-30000,一、工作内容：1、负责单板测试及报告输出：电源、驱动、采样等单板功能；2、负责变流器整机测试：按测试大纲进行并网及离网功能及性能的测试；3、及时进行测试问题的登记及督促设计人员进行问题的解决与进度跟进；4、按时整理测试报告及编写和更新测试大纲。二、任职要求：1、熟悉GB34131、GB34120、EN50549、VDE-AR-N 4105、G98、IEC62477、IEC61000等相关产品标准；...,新能源,http://jobs.zhaopin.com/CC398572520J40843538512.htm,10000人以上,2025-12-04 16:06:59,15000.0,30000.0,12.0
软件/硬件电子工程师,武汉,武汉半边天医疗技术发展有限公司,本科,3-5年,"嵌入式开发,医疗器械,电路设计,单片机,电子硬件开发,电子软件开发,CPLD",15000-30000,岗位职责：1、从事硬件及软件平台研发，包括方案设计、电路设计、PCB设计、固件设计、软件开发和测试工作; 2、要求具有一定的硬件研发经验，熟悉商用/工业领域仪器、仪表等电子产品的硬件开发设计； 3、负责嵌入式系统的固件开发、调试；熟悉嵌入式系统的开发、调试；以及嵌入式系统及软件设计文档的编写；为公司新产品决策提供参考并输出算法解决方案； 4、设计开发医疗消费电子、智能医疗设备的生命体征传感器驱动、...,医药制造,http://jobs.zhaopin.com/CC121121460J90250018000.htm,500-999人,2025-11-21 00:28:22,15000.0,30000.0,13.0
市场销售经理（高端精密仪器方向硬件设备产品）,武汉,中科酷原科技(武汉)有限公司,本科,3-5年,"硬件行业,通信/网络设备,电子/半导体,区域销售,院校客户",15000-30000,工作职责：1.参与市场调研，了解同业竞争策略与消费有效需求，为公司产品的市场定位提供科学的决策依据。2、负责公司销售目标和计划的执行，督促拟订销售与推广行销方案。3、负责公司市场销售客户资源库维护和管理，挖掘开发新业务渠道。4、负责对接市场与公司其它部门之间的产品需求转达。5、负责对公司的销售代表进行业务指导和培训。6、完成直接上级委派的其他任务。任职资格：1.本科以上学历，能熟练使用office...,专用设备制造,http://jobs.zhaopin.com/CCL1268592630J40641662716.htm,20-99人,2025-11-20 00:06:01,15000.0,30000.0,13.0
BMS硬件工程师,武汉,惠州亿纬锂能股份有限公司,本科,3-5年,,15000-30000,一、工作内容：1、负责储能变流器的IGBT驱动、辅助电源、采样等部分电路的原理图设计与器件选型与LAYOUT；2、负责储能变流器的设计文档\DFMEA\BOM\工艺文件\系统框图等相关文档编写；3、负责测试问题的跟进及解决，同时需要负责协调软件、结构、电气、测试等相关同事保证项目的按时交付；二、任职要求：1、熟悉GB34131、GB34120、IEC62477、IEC61000等相关产品标准；2、...,新能源,http://jobs.zhaopin.com/CC398572520J40843535012.htm,10000人以上,2025-12-04 16:06:56,15000.0,30000.0,12.0
硬件开发博士-南斗六星,武汉,东风汽车,博士,经验不限,"硬件测试,设计",18000-30000,岗位职责:工作职责根据公司部门实际需求定岗 任职要求:1. 博士研究生学历，电子信息、自动化、电气工程、机械电子等相关专业2.具备硬件基础知识，了解模拟/数字电路分析及设计，具有基于ARM/DSP/FPGA硬件系统单板开发和调试经验、数字/模拟传感器检测和模拟小信号处理分析能力等实践经验,汽车研发/制造,http://jobs.zhaopin.com/CC679989880J40821628305.htm,10000人以上,2025-11-07 10:57:31,18000.0,30000.0,12.0
电动执行机构技术经理,武汉,湖北江汉石油仪器仪表股份有限公司,本科,5-10年,"执行机构,阀门,设计",15000-30000,岗位职责：1、有独立从事电动执行器研发、电气技术改进的能力； 2、负责实施执行机构的设计和研发工作；负责电动执行器的电气控制设计和配套部件（电机、限位开关等）选型等；3、负责编制电动执行器制造相关技术工艺文件；4、负责电动执行器性能测试和试验鉴定的相关工作；5、负责电动执行器产品的标准化设计和技术创新研发；6、负责公司新产品合作项目的推进工作；7、负责产品企业标准的编制与实施等工作；8、参与技术类...,仪器仪表制造,http://jobs.zhaopin.com/CC211770110J40706086710.htm,100-299人,2025-10-31 10:47:59,15000.0,30000.0,13.0
硬件工程师,武汉,东莞美璟供应链管理有限公司,本科,经验不限,,15000-30000,职责描述：1.负责硬件设计、开发、调试、硬件测试、转产详细工作（原理图、PCB、BOM，解决硬件开发过程问题）。2.负责项目制定产品硬件开发工作，根据产品项目需求，保证质量、按时达成项目目标，开发符合功能、性能要求和质量目标的硬件产品。3.具有良好的执行力，善于沟通、对产品需求、规格有分析能力，为产品进一步的提升提出合理化建议； 4.参与产品硬件测试、解决测试问题。5.负责新技术开发实施，标准化硬...,货运/物流/仓储,http://jobs.zhaopin.com/CCL1511079580J40804454407.htm,20-99人,2025-10-28 14:30:31,15000.0,30000.0,16.0
电学专利代理师-电子硬件/电子电路方向,武汉,北京励诚知识产权代理有限公司,本科,经验不限,"国内专利代理,电学类,电子硬件",15000-30000,岗位职责：1、为国内外客户提供专利咨询和检索等专业服务；2、完成电学、计算机、通讯、网络、计算机、半导体、集成电路等专利申请文件的撰写，申请文件后续的答辩、复审等；3、参与专利无效、专利检索、侵权分析、专利战略等工作，专利咨询和检索等专业服务；任职资格：1、教育水平：大学本科及以上学历，电力电子、自动化、电气工程、电子信息工程、电子科学与技术、通信工程、计算机、半导体、集成电路等相关专业；2、知识...,专利/商标/知识产权,http://jobs.zhaopin.com/CCL1442219300J40788632511.htm,100-299人,2025-10-25 00:03:21,15000.0,30000.0,12.0
